股票代码,报告期,净资产收益率,净利润,营业总收入同比增长率,净利润同比增长率
601059,2017-12-31,2.24,2.08亿,11.03,52.13
601059,2018-12-31,0.75,6995.74万,16.87,66.43
601059,2019-12-31,2.26,2.10亿,34.01,200.28
601059,2020-06-30,3.92,3.84亿,35.04,103.83
601059,2020-12-31,7.85,8.20亿,42.26,290.2
601059,2021-12-31,9.89,11.72亿,20.27,42.95
601059,2022-06-30,3.96,5.03亿,20.13,17.23
601059,2022-09-30,5.65,7.24亿,4.24,0.29
601059,2022-12-31,9.39,12.27亿,9.61,4.75
601059,2023-03-31,1.39,2.16亿,36.28,30.19
601059,2023-06-30,4.49,7.29亿,6.26,45.02
601059,2023-09-30,6.57,10.86亿,1.74,50.09
601059,2023-12-31,8.73,14.67亿,1.33,19.52
601059,2024-03-31,0.99,1.85亿,23.43,14.41
601059,2024-06-30,3.41,6.14亿,15.88,15.79
601059,2024-09-30,4.85,8.85亿,14.19,18.49
601059,2024-12-31,7.23,13.65亿,5.51,6.95
601059,2025-03-31,0.86,2.05亿,15.78,10.82
601059,2025-06-30,4.94,10.24亿,27.66,66.78
601059,2025-09-30,6.44,13.54亿,28.46,52.89
002600,2009-12-31,12.54,5167.50万,7.88,0.89
002600,2010-12-31,15.05,8132.75万,51.2,57.38
002600,2011-06-30,5.96,3853.00万,26.6,8.78
002600,2011-09-30,6.73,5293.69万,16.28,16.04
002600,2011-12-31,5.51,4966.71万,16.47,38.93
002600,2012-03-31,0.07,91.56万,22.67,93.87
002600,2012-06-30,3.21,4140.74万,20.79,7.47
002600,2012-09-30,4.03,5194.37万,22.48,1.88
002600,2012-12-31,3.83,4925.39万,20.95,0.83
002600,2013-03-31,0.34,442.16万,38.46,382.92
002600,2013-06-30,0.55,710.43万,25.31,82.84
002600,2013-09-30,0.81,1044.99万,25.29,79.88
002600,2013-12-31,1.34,1721.35万,29.67,65.05
002600,2014-03-31,0.03,41.81万,2.57,90.54
002600,2014-06-30,0.7,-887.94万,32.53,224.99
002600,2014-09-30,1.44,-1812.50万,34.47,273.45
002600,2014-12-31,0.28,355.53万,46.62,79.35
002600,2015-06-30,0.33,406.48万,90.27,145.78
002600,2015-09-30,1.3,1764.91万,112.26,197.37
002600,2016-03-31,0.27,743.02万,159.14,272.03
002600,2016-12-31,5.45,2.34亿,147.5,408.31
002600,2018-09-30,3.59,-3.52亿,186.04,133.91
002600,2018-12-31,6.9,-6.80亿,133.48,140.41
002600,2019-03-31,5.93,6.02亿,8.57,47.85
002600,2019-06-30,10.69,11.15亿,2.25,291.79
002600,2019-12-31,17.49,18.95亿,6.29,378.7
002600,2020-03-31,0.56,6487.61万,15.88,89.22
002600,2020-06-30,5.3,6.31亿,24.47,43.36
002600,2020-09-30,11.21,14.42亿,19.92,31.34
002600,2020-12-31,17.09,22.66亿,17.67,19.59
002600,2021-06-30,2.7,3.96亿,6.68,37.2
002600,2021-09-30,8.38,12.70亿,10.9,11.95
002600,2021-12-31,7.81,11.80亿,7.97,47.93
002600,2022-03-31,1.88,3.01亿,9.93,35.05
002600,2022-06-30,2.99,4.81亿,16.19,21.42
002600,2022-09-30,7.49,12.26亿,14.06,3.42
002600,2022-12-31,9.68,15.96亿,13.49,35.25
002600,2023-03-31,3.7,6.47亿,2.12,115.01
002600,2023-06-30,7.0,12.48亿,3.27,159.29
002600,2023-09-30,10.47,18.70亿,0.09,52.49
002600,2023-12-31,11.56,20.51亿,1.05,28.5
002600,2024-03-31,2.5,4.58亿,35.83,29.25
002600,2024-06-30,3.73,6.84亿,25.06,45.19
002600,2024-09-30,7.46,14.10亿,27.75,24.57
002600,2024-12-31,9.24,17.53亿,29.56,14.5
