股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2384,2024-01-02,17.91,17.39,17.92,17.38,218977.0,392983245.78,3.02,-2.63,-0.47,1.58
2384,2024-01-03,17.39,16.61,17.39,16.46,388107.0,662391200.34,5.35,-4.49,-0.78,2.79
2384,2024-01-04,16.55,16.28,16.56,16.17,228264.0,378855647.02,2.35,-1.99,-0.33,1.64
2384,2024-01-05,16.25,16.0,16.72,15.91,286840.0,475284364.23,4.98,-1.72,-0.28,2.06
2384,2024-01-08,15.93,15.41,16.03,15.38,241038.0,384294715.33,4.06,-3.69,-0.59,1.73
2384,2024-01-09,15.43,15.33,15.63,15.29,208045.0,327642222.09,2.21,-0.52,-0.08,1.5
2384,2024-01-10,15.27,15.43,15.63,14.93,231384.0,361568079.07,4.57,0.65,0.1,1.66
2384,2024-01-11,15.41,15.62,15.71,15.28,192226.0,304944027.77,2.79,1.23,0.19,1.38
2384,2024-01-12,15.51,15.4,15.64,15.39,151693.0,239841447.93,1.6,-1.41,-0.22,1.09
2384,2024-01-15,15.32,15.26,15.54,15.2,146703.0,229989782.3,2.21,-0.91,-0.14,1.06
2384,2024-01-16,15.27,15.11,15.37,14.89,207184.0,319387012.68,3.15,-0.98,-0.15,1.49
2384,2024-01-17,15.08,14.57,15.13,14.57,198414.0,300231045.49,3.71,-3.57,-0.54,1.43
2384,2024-01-18,14.56,14.82,14.83,14.24,218045.0,322954787.97,4.05,1.72,0.25,1.57
2384,2024-01-19,14.75,14.8,15.08,14.69,195621.0,298076582.18,2.63,-0.13,-0.02,1.41
2384,2024-01-22,14.8,13.97,14.85,13.88,210959.0,309859737.07,6.55,-5.61,-0.83,1.52
2384,2024-01-23,13.98,14.17,14.32,13.81,176086.0,254025724.2,3.65,1.43,0.2,1.27
2384,2024-01-24,14.26,14.24,14.4,13.7,193807.0,278199785.2,4.94,0.49,0.07,1.39
2384,2024-01-25,14.22,14.58,14.58,14.01,247998.0,365253410.31,4.0,2.39,0.34,1.78
2384,2024-01-26,14.52,14.19,14.64,14.13,221257.0,325470120.26,3.5,-2.67,-0.39,1.59
2384,2024-01-29,14.28,13.29,14.35,13.26,399397.0,555911023.18,7.68,-6.34,-0.9,2.87
2384,2024-01-30,13.21,12.93,13.4,12.88,271908.0,367676926.39,3.91,-2.71,-0.36,1.96
2384,2024-01-31,12.92,12.18,12.96,12.15,436797.0,556170759.08,6.26,-5.8,-0.75,3.14
2384,2024-02-01,12.18,12.37,12.45,11.99,338781.0,426537216.62,3.78,1.56,0.19,2.44
2384,2024-02-02,12.37,11.83,12.53,11.33,382964.0,469900212.65,9.7,-4.37,-0.54,2.75
2384,2024-02-05,11.76,11.25,11.83,10.69,454540.0,527582862.48,9.64,-4.9,-0.58,3.27
2384,2024-02-06,11.14,12.41,12.41,11.0,430485.0,525959653.32,12.53,10.31,1.16,3.1
2384,2024-02-07,12.64,13.67,13.68,12.42,592769.0,811671329.99,10.15,10.15,1.26,4.26
2384,2024-02-08,13.83,13.45,14.29,13.3,615980.0,871503896.74,7.24,-1.61,-0.22,4.43
2384,2024-02-19,13.74,13.69,13.77,13.43,419716.0,583358265.16,2.53,1.78,0.24,3.02
2384,2024-02-20,13.61,13.44,13.61,13.14,318322.0,434603572.06,3.43,-1.83,-0.25,2.29
2384,2024-02-21,13.31,13.54,13.93,13.21,403911.0,563683125.7,5.36,0.74,0.1,2.91
2384,2024-02-22,13.48,13.89,13.91,13.43,306076.0,431668750.86,3.55,2.58,0.35,2.2
2384,2024-02-23,13.95,13.98,14.0,13.7,316088.0,447644340.47,2.16,0.65,0.09,2.27
2384,2024-02-26,13.97,13.99,14.26,13.85,307620.0,441554823.48,2.93,0.07,0.01,2.21
2384,2024-02-27,14.0,14.8,14.82,13.88,445556.0,656369563.89,6.72,5.79,0.81,3.2
2384,2024-02-28,14.76,14.04,15.16,14.03,523787.0,783009221.97,7.64,-5.14,-0.76,3.77
2384,2024-02-29,13.85,14.65,14.67,13.85,375624.0,554802905.74,5.84,4.34,0.61,2.7
2384,2024-03-01,14.72,14.89,15.11,14.65,419291.0,637711151.81,3.14,1.64,0.24,3.02
2384,2024-03-04,14.9,14.76,14.95,14.53,389984.0,587041496.11,2.82,-0.87,-0.13,2.81
2384,2024-03-05,14.56,14.43,14.65,14.29,405568.0,599919889.82,2.44,-2.24,-0.33,2.92
2384,2024-03-06,14.34,14.34,14.59,14.01,398825.0,581810113.56,4.02,-0.62,-0.09,2.87
2384,2024-03-07,14.32,13.93,14.52,13.93,323401.0,470230320.0,4.11,-2.86,-0.41,2.33
2384,2024-03-08,13.95,14.55,14.58,13.93,449416.0,655351682.22,4.67,4.45,0.62,3.23
2384,2024-03-11,14.42,14.79,14.8,14.14,372747.0,552583183.39,4.54,1.65,0.24,2.68
2384,2024-03-12,14.9,14.82,15.0,14.68,336413.0,509111964.7,2.16,0.2,0.03,2.42
2384,2024-03-13,14.98,15.49,15.9,14.98,876710.0,1389324757.82,6.21,4.52,0.67,6.31
2384,2024-03-14,15.29,14.87,15.36,14.76,746716.0,1141475526.74,3.87,-4.0,-0.62,5.37
2384,2024-03-15,14.93,15.15,15.23,14.62,454365.0,691968804.17,4.1,1.88,0.28,3.27
2384,2024-03-18,15.23,15.87,15.92,15.07,653855.0,1036894264.33,5.61,4.75,0.72,4.7
2384,2024-03-19,15.88,16.23,16.82,15.83,851701.0,1421236795.02,6.24,2.27,0.36,6.13
