,股票代码,报告期,营业总收入同比增长率,净利润同比增长率
0,002625,2008-12-31,False,False
1,002625,2009-12-31,53.98%,98.48%
2,002625,2010-09-30,False,False
3,002625,2010-12-31,19.97%,23.94%
4,002625,2011-03-31,False,False
5,002625,2011-06-30,False,False
6,002625,2011-09-30,20.48%,30.21%
7,002625,2011-12-31,17.78%,2.82%
8,002625,2012-03-31,3.03%,-49.16%
9,002625,2012-06-30,12.55%,-13.15%
10,002625,2012-09-30,14.19%,-12.40%
11,002625,2012-12-31,5.18%,-19.55%
12,002625,2013-03-31,37.54%,45.32%
13,002625,2013-06-30,10.68%,5.96%
14,002625,2013-09-30,12.42%,4.30%
15,002625,2013-12-31,24.00%,-9.05%
16,002625,2014-03-31,12.02%,11.16%
17,002625,2014-06-30,17.51%,5.56%
18,002625,2014-09-30,26.09%,6.76%
19,002625,2014-12-31,38.00%,25.13%
20,002625,2015-03-31,37.36%,29.60%
21,002625,2015-06-30,25.49%,-8.43%
22,002625,2015-09-30,14.98%,-3.81%
23,002625,2015-12-31,0.66%,3.06%
24,002625,2016-03-31,2.48%,6.53%
25,002625,2016-06-30,-1.46%,11.18%
26,002625,2016-09-30,0.90%,33.69%
27,002625,2016-12-31,4.18%,63.48%
28,002625,2017-03-31,10.02%,123.31%
29,002625,2017-06-30,-5.07%,131.13%
30,002625,2017-09-30,-14.41%,95.89%
31,002625,2017-12-31,-9.95%,22.62%
32,002625,2018-03-31,-12.28%,-37.43%
33,002625,2018-06-30,1.92%,-47.14%
34,002625,2018-09-30,9.42%,-55.00%
35,002625,2018-12-31,22.14%,-12.77%
36,002625,2019-03-31,-13.58%,-28.99%
37,002625,2019-06-30,1.75%,87.28%
38,002625,2019-09-30,0.61%,133.15%
39,002625,2019-12-31,3.78%,63.02%
40,002625,2020-03-31,9.41%,184.50%
41,002625,2020-06-30,13.72%,40.10%
42,002625,2020-09-30,16.15%,32.31%
43,002625,2020-12-31,32.25%,41.90%
44,002625,2021-03-31,16.13%,11.51%
45,002625,2021-06-30,21.48%,30.49%
46,002625,2021-09-30,18.65%,18.22%
47,002625,2021-12-31,35.01%,66.25%
48,002625,2022-03-31,18.95%,56.91%
49,002625,2022-06-30,70.17%,95.40%
50,002625,2022-09-30,117.00%,147.03%
51,002625,2022-12-31,35.88%,38.85%
52,002625,2023-03-31,154.59%,135.81%
53,002625,2023-06-30,80.84%,66.77%
54,002625,2023-09-30,46.68%,50.27%
55,002625,2023-12-31,27.98%,54.85%
56,002625,2024-03-31,3.04%,34.88%
57,002625,2024-06-30,1.07%,20.33%
58,002625,2024-09-30,3.67%,20.05%
59,002625,2024-12-31,4.25%,11.77%
60,002625,2025-03-31,15.96%,10.82%
61,002625,2025-06-30,10.70%,6.75%
62,002625,2025-09-30,25.76%,12.81%
126,300476,2011-12-31,False,False
127,300476,2012-12-31,35.31%,30.56%
128,300476,2013-12-31,2.72%,14.24%
129,300476,2014-03-31,False,False
130,300476,2014-06-30,False,False
131,300476,2014-09-30,False,False
132,300476,2014-12-31,10.88%,16.52%
133,300476,2015-03-31,17.76%,6.70%
134,300476,2015-06-30,8.81%,10.46%
135,300476,2015-09-30,15.66%,16.76%
136,300476,2015-12-31,18.21%,22.67%
137,300476,2016-03-31,38.27%,45.74%
138,300476,2016-06-30,38.33%,52.80%
139,300476,2016-09-30,46.51%,70.47%
140,300476,2016-12-31,41.50%,83.40%
141,300476,2017-03-31,14.78%,14.60%
142,300476,2017-06-30,30.66%,20.53%
143,300476,2017-09-30,29.28%,20.96%
144,300476,2017-12-31,34.35%,21.44%
145,300476,2018-03-31,85.26%,92.46%
146,300476,2018-06-30,48.76%,74.36%
147,300476,2018-09-30,38.85%,65.49%
148,300476,2018-12-31,35.29%,35.01%
149,300476,2019-03-31,-6.28%,9.96%
150,300476,2019-06-30,3.79%,9.99%
151,300476,2019-09-30,11.33%,12.03%
152,300476,2019-12-31,17.58%,21.62%
153,300476,2020-03-31,22.85%,7.82%
154,300476,2020-06-30,46.12%,18.59%
155,300476,2020-09-30,41.38%,18.26%
156,300476,2020-12-31,44.15%,12.13%
157,300476,2021-03-31,64.58%,74.62%
158,300476,2021-06-30,45.39%,50.04%
159,300476,2021-09-30,42.32%,46.71%
160,300476,2021-12-31,32.72%,29.20%
161,300476,2022-03-31,29.22%,10.77%
162,300476,2022-06-30,18.02%,16.01%
163,300476,2022-09-30,10.78%,2.82%
164,300476,2022-12-31,6.10%,17.93%
165,300476,2023-03-31,-13.35%,-38.16%
166,300476,2023-06-30,-8.10%,-24.15%
167,300476,2023-09-30,-3.73%,-8.45%
168,300476,2023-12-31,0.58%,-15.09%
169,300476,2024-03-31,36.06%,67.72%
170,300476,2024-06-30,32.29%,33.23%
171,300476,2024-09-30,34.02%,30.54%
172,300476,2024-12-31,35.31%,71.96%
173,300476,2025-03-31,80.31%,339.22%
174,300476,2025-06-30,86.00%,366.89%
175,300476,2025-09-30,83.40%,324.38%
176,300476,2025-12-31,79.77%,273.52%
228,300251,2008-12-31,False,False
229,300251,2009-12-31,45.75%,386.82%
230,300251,2010-06-30,False,False
231,300251,2010-09-30,False,False
232,300251,2010-12-31,24.50%,79.90%
233,300251,2011-03-31,False,False
234,300251,2011-06-30,39.23%,52.75%
235,300251,2011-09-30,33.79%,57.64%
236,300251,2011-12-31,45.52%,55.82%
237,300251,2012-03-31,-15.75%,40.78%
238,300251,2012-06-30,6.97%,34.89%
239,300251,2012-09-30,29.45%,35.29%
240,300251,2012-12-31,48.13%,76.47%
241,300251,2013-03-31,94.80%,317.30%
242,300251,2013-06-30,68.15%,112.19%
243,300251,2013-09-30,28.84%,75.05%
244,300251,2013-12-31,-12.54%,5.71%
245,300251,2014-03-31,-39.30%,-66.64%
246,300251,2014-06-30,-35.66%,-40.73%
247,300251,2014-09-30,-6.63%,-17.60%
248,300251,2014-12-31,34.72%,0.42%
249,300251,2015-03-31,39.86%,-82.72%
250,300251,2015-06-30,37.57%,-19.78%
251,300251,2015-09-30,29.93%,-6.75%
252,300251,2015-12-31,25.06%,22.09%
253,300251,2016-03-31,151.38%,4382.32%
254,300251,2016-06-30,74.27%,291.13%
255,300251,2016-09-30,41.79%,216.55%
256,300251,2016-12-31,13.66%,84.27%
257,300251,2017-03-31,34.96%,-12.99%
258,300251,2017-06-30,42.62%,24.61%
259,300251,2017-09-30,30.52%,8.28%
260,300251,2017-12-31,6.48%,10.02%
261,300251,2018-03-31,-34.25%,976.95%
262,300251,2018-06-30,-29.96%,426.05%
263,300251,2018-09-30,-17.05%,263.70%
264,300251,2018-12-31,-19.09%,68.47%
265,300251,2019-03-31,128.56%,-95.40%
266,300251,2019-06-30,62.37%,-95.00%
267,300251,2019-09-30,91.47%,-51.46%
268,300251,2019-12-31,89.70%,-31.00%
269,300251,2020-03-31,-75.29%,-67.82%
270,300251,2020-06-30,-77.86%,-80.46%
271,300251,2020-09-30,-80.46%,-94.26%
272,300251,2020-12-31,-59.04%,-69.28%
273,300251,2021-03-31,5.98%,573.14%
274,300251,2021-06-30,191.37%,2255.45%
275,300251,2021-09-30,103.41%,767.66%
276,300251,2021-12-31,0.74%,-207.09%
277,300251,2022-03-31,83.94%,-62.37%
278,300251,2022-06-30,-22.78%,-58.62%
279,300251,2022-09-30,-29.92%,-81.58%
280,300251,2022-12-31,-35.35%,-128.66%
281,300251,2023-03-31,-6.43%,63.38%
282,300251,2023-06-30,3.78%,1.12%
283,300251,2023-09-30,37.15%,261.89%
284,300251,2023-12-31,104.74%,158.62%
