股票代码,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率,销售毛利率,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率
601059,2007-12-31,4.08亿,False,False,False,4.32亿,False,False,False,False,0.20,False,99.18%,False,False,4.51,81.84%,,,,,,,,
601059,2008-12-31,3.14亿,-23.01%,False,False,11.30亿,161.32%,False,False,False,0.33,False,27.79%,False,False,2.96,74.72%,,,,,,,,
601059,2009-12-31,6.48亿,106.45%,False,False,17.83亿,57.78%,False,False,-0.0008,0.62,False,35.57%,False,False,4.88,82.99%,,,,,,,,
601059,2010-12-31,4.05亿,-37.57%,False,False,15.55亿,-12.79%,False,False,-0.0066,0.82,False,26.03%,False,False,4.48,81.75%,,,,,,,,
601059,2011-12-31,2.02亿,-50.03%,False,False,12.28亿,-21.05%,False,False,0.35,0.54,False,16.48%,False,False,1.92,65.75%,,,,,,,,
601059,2012-12-31,2.16亿,6.89%,False,False,13.57亿,10.56%,False,False,0.36,0.52,False,15.93%,False,False,1.61,61.69%,,,,,,,,
601059,2013-06-30,1.73亿,False,False,False,7.94亿,False,False,False,False,False,False,21.68%,False,False,False,False,,,,,,,,
601059,2013-12-31,3.25亿,50.16%,False,False,16.61亿,22.40%,False,False,0.36,0.61,False,19.43%,False,False,1.93,65.91%,,,,,,,,
601059,2014-06-30,2.29亿,32.34%,False,False,9.77亿,23.10%,False,False,0.38,0.70,False,23.33%,False,False,2.09,67.61%,,,,,,,,
601059,2014-12-31,9.14亿,181.46%,False,False,30.97亿,75.16%,False,False,0.37,0.84,False,31.04%,False,False,4.02,80.06%,,,,,,,,
601059,2015-12-31,20.82亿,127.85%,False,False,52.35亿,69.01%,False,False,0.35,1.39,False,39.69%,False,False,5.30,83.99%,,,,,,,,
601059,2016-06-30,2.81亿,False,False,False,11.59亿,False,False,False,0.37,1.36,False,24.21%,False,False,5.54,84.55%,,,,,,,,
601059,2016-09-30,4.55亿,False,False,False,17.16亿,False,False,False,0.35,1.43,False,26.32%,False,False,4.96,83.08%,,,,,,,,
601059,2016-12-31,4.35亿,-79.09%,False,False,22.43亿,-57.16%,False,False,0.35,1.38,False,19.45%,False,False,5.27,83.89%,,,,,,,,
601059,2017-03-31,9291.26万,False,False,False,4.41亿,False,False,False,0.35,1.41,False,20.90%,False,False,5.64,84.79%,,,,,,,,
601059,2017-06-30,1.58亿,-43.74%,False,False,9.61亿,-17.08%,False,False,0.37,1.42,False,16.70%,False,False,5.12,83.51%,,,,,,,,
601059,2017-12-31,2.08亿,-52.13%,1.69亿,False,19.95亿,-11.03%,0.0800,3.63,0.49,1.41,-3.56,11.83%,2.24%,2.23%,4.86,82.38%,,,,,,,,
601059,2018-09-30,3904.19万,False,False,False,10.64亿,False,False,False,0.35,1.38,False,3.72%,False,False,3.40,77.05%,,,,,,,,
601059,2018-12-31,6995.74万,-66.43%,3080.06万,-81.75%,16.59亿,-16.87%,0.0300,3.67,0.49,1.40,4.71,5.43%,0.75%,0.74%,3.04,74.50%,,,,,,,,
601059,2019-03-31,2.58亿,False,False,False,6.89亿,False,False,False,0.35,1.47,False,37.44%,False,False,3.83,79.11%,,,,,,,,
601059,2019-06-30,1.88亿,False,False,False,11.64亿,False,False,False,False,False,False,17.02%,False,False,False,False,,,,,,,,
601059,2019-09-30,1.54亿,295.32%,False,False,16.59亿,55.90%,False,False,0.31,1.50,False,9.96%,False,False,3.96,79.18%,,,,,,,,
601059,2019-12-31,2.10亿,200.28%,2.36亿,664.91%,22.23亿,34.01%,0.0800,3.57,0.30,1.46,1.60,8.38%,2.26%,2.29%,3.90,78.98%,,,,,,,,
601059,2020-06-30,3.84亿,103.83%,3.84亿,False,15.72亿,35.04%,0.1400,3.72,0.60,1.37,0.17,25.53%,3.92%,3.53%,3.31,76.18%,,,,,,,,
601059,2020-12-31,8.20亿,290.20%,8.18亿,247.14%,31.62亿,42.26%,0.2900,3.86,0.60,1.48,0.0020,27.06%,7.85%,7.28%,3.17,75.41%,,,,,,,,
601059,2021-06-30,4.29亿,11.83%,False,False,14.86亿,-5.45%,0.1500,False,0.60,1.57,False,30.07%,False,False,4.08,79.82%,,,,,,,,
601059,2021-09-30,7.22亿,False,7.19亿,False,25.82亿,False,False,False,False,False,False,28.90%,False,False,False,False,,,,,,,,
601059,2021-12-31,11.72亿,42.95%,11.65亿,42.45%,38.03亿,20.27%,0.4000,4.26,0.60,1.76,-1.29,31.86%,9.89%,9.41%,4.16,80.14%,,,,,,,,
601059,2022-03-31,1.66亿,False,False,False,8.00亿,False,0.0600,False,False,False,False,22.00%,False,False,False,False,,,,,,,,
601059,2022-06-30,5.03亿,17.23%,5.00亿,False,17.85亿,20.13%,0.1700,4.44,0.60,1.85,2.55,28.73%,3.96%,3.88%,3.98,79.42%,,,,,,,,
601059,2022-09-30,7.24亿,0.29%,7.17亿,-0.29%,26.92亿,4.24%,0.2500,4.52,0.60,1.91,2.49,28.15%,5.65%,5.48%,3.76,78.43%,,,,,,,,
601059,2022-12-31,12.27亿,4.75%,12.24亿,5.06%,34.38亿,-9.61%,0.4200,4.69,0.60,2.03,2.62,38.35%,9.39%,8.97%,3.77,78.43%,,,,,,,,
601059,2023-03-31,2.16亿,30.19%,2.12亿,False,10.90亿,36.28%,0.0700,5.12,1.24,1.89,0.89,21.66%,1.39%,1.30%,3.35,76.44%,,,,,,,,
601059,2023-06-30,7.29亿,45.02%,7.24亿,44.89%,18.97亿,6.26%,0.2300,5.49,1.24,1.94,-0.19,40.47%,4.49%,4.30%,3.26,75.96%,,,,,,,,
601059,2023-09-30,10.86亿,50.09%,10.80亿,50.62%,27.39亿,1.74%,0.3400,5.34,1.24,2.05,0.47,41.41%,6.57%,6.28%,3.17,75.45%,,,,,,,,
601059,2023-12-31,14.67亿,19.52%,14.52亿,18.61%,34.83亿,1.33%,0.4600,5.48,1.24,2.10,0.75,44.28%,8.73%,8.26%,3.36,76.46%,,,,,,,,
601059,2024-03-31,1.85亿,-14.41%,1.81亿,-14.92%,8.35亿,-23.43%,0.0600,5.53,1.24,2.15,-0.71,23.37%,0.99%,1.03%,3.21,75.64%,,,,,,,,
601059,2024-06-30,6.14亿,-15.79%,6.06亿,-16.33%,15.96亿,-15.88%,0.1900,5.64,1.24,2.18,0.50,39.21%,3.41%,3.35%,3.20,75.58%,,,,,,,,
601059,2024-09-30,8.85亿,-18.49%,8.74亿,-19.08%,23.50亿,-14.19%,0.2700,5.66,1.24,2.22,1.15,38.33%,4.85%,4.35%,3.15,75.41%,,,,,,,,
601059,2024-12-31,13.65亿,-6.95%,13.64亿,-6.07%,32.92亿,-5.51%,0.4100,5.95,1.24,2.30,3.17,42.98%,7.23%,5.73%,3.46,77.14%,,,,,,,,
601059,2025-03-31,2.05亿,10.82%,2.00亿,10.43%,9.67亿,15.78%,0.0600,5.89,1.24,2.37,-2.19,21.58%,0.86%,0.87%,3.32,76.36%,,,,,,,,
601059,2025-06-30,10.24亿,66.78%,10.19亿,68.33%,20.37亿,27.66%,0.3000,6.25,1.24,2.48,0.36,50.64%,4.94%,4.14%,3.88,79.10%,,,,,,,,
601059,2025-09-30,13.54亿,52.89%,13.51亿,54.69%,30.19亿,28.46%,0.4000,6.28,1.24,2.52,-0.57,45.75%,6.44%,5.13%,3.83,78.77%,,,,,,,,
601059,2007-12-31,4.08亿,False,False,False,4.32亿,False,False,False,False,0.20,False,99.18%,False,False,4.51,81.84%,,,,,,,,
601059,2008-12-31,3.14亿,-23.01%,False,False,11.30亿,161.32%,False,False,False,0.33,False,27.79%,False,False,2.96,74.72%,,,,,,,,
601059,2009-12-31,6.48亿,106.45%,False,False,17.83亿,57.78%,False,False,-0.0008,0.62,False,35.57%,False,False,4.88,82.99%,,,,,,,,
601059,2010-12-31,4.05亿,-37.57%,False,False,15.55亿,-12.79%,False,False,-0.0066,0.82,False,26.03%,False,False,4.48,81.75%,,,,,,,,
601059,2011-12-31,2.02亿,-50.03%,False,False,12.28亿,-21.05%,False,False,0.35,0.54,False,16.48%,False,False,1.92,65.75%,,,,,,,,
601059,2012-12-31,2.16亿,6.89%,False,False,13.57亿,10.56%,False,False,0.36,0.52,False,15.93%,False,False,1.61,61.69%,,,,,,,,
601059,2013-06-30,1.73亿,False,False,False,7.94亿,False,False,False,False,False,False,21.68%,False,False,False,False,,,,,,,,
601059,2013-12-31,3.25亿,50.16%,False,False,16.61亿,22.40%,False,False,0.36,0.61,False,19.43%,False,False,1.93,65.91%,,,,,,,,
601059,2014-06-30,2.29亿,32.34%,False,False,9.77亿,23.10%,False,False,0.38,0.70,False,23.33%,False,False,2.09,67.61%,,,,,,,,
601059,2014-12-31,9.14亿,181.46%,False,False,30.97亿,75.16%,False,False,0.37,0.84,False,31.04%,False,False,4.02,80.06%,,,,,,,,
601059,2015-12-31,20.82亿,127.85%,False,False,52.35亿,69.01%,False,False,0.35,1.39,False,39.69%,False,False,5.30,83.99%,,,,,,,,
601059,2016-06-30,2.81亿,False,False,False,11.59亿,False,False,False,0.37,1.36,False,24.21%,False,False,5.54,84.55%,,,,,,,,
601059,2016-09-30,4.55亿,False,False,False,17.16亿,False,False,False,0.35,1.43,False,26.32%,False,False,4.96,83.08%,,,,,,,,
601059,2016-12-31,4.35亿,-79.09%,False,False,22.43亿,-57.16%,False,False,0.35,1.38,False,19.45%,False,False,5.27,83.89%,,,,,,,,
601059,2017-03-31,9291.26万,False,False,False,4.41亿,False,False,False,0.35,1.41,False,20.90%,False,False,5.64,84.79%,,,,,,,,
601059,2017-06-30,1.58亿,-43.74%,False,False,9.61亿,-17.08%,False,False,0.37,1.42,False,16.70%,False,False,5.12,83.51%,,,,,,,,
601059,2017-12-31,2.08亿,-52.13%,1.69亿,False,19.95亿,-11.03%,0.0800,3.63,0.49,1.41,-3.56,11.83%,2.24%,2.23%,4.86,82.38%,,,,,,,,
601059,2018-09-30,3904.19万,False,False,False,10.64亿,False,False,False,0.35,1.38,False,3.72%,False,False,3.40,77.05%,,,,,,,,
601059,2018-12-31,6995.74万,-66.43%,3080.06万,-81.75%,16.59亿,-16.87%,0.0300,3.67,0.49,1.40,4.71,5.43%,0.75%,0.74%,3.04,74.50%,,,,,,,,
601059,2019-03-31,2.58亿,False,False,False,6.89亿,False,False,False,0.35,1.47,False,37.44%,False,False,3.83,79.11%,,,,,,,,
601059,2019-06-30,1.88亿,False,False,False,11.64亿,False,False,False,False,False,False,17.02%,False,False,False,False,,,,,,,,
601059,2019-09-30,1.54亿,295.32%,False,False,16.59亿,55.90%,False,False,0.31,1.50,False,9.96%,False,False,3.96,79.18%,,,,,,,,
601059,2019-12-31,2.10亿,200.28%,2.36亿,664.91%,22.23亿,34.01%,0.0800,3.57,0.30,1.46,1.60,8.38%,2.26%,2.29%,3.90,78.98%,,,,,,,,
601059,2020-06-30,3.84亿,103.83%,3.84亿,False,15.72亿,35.04%,0.1400,3.72,0.60,1.37,0.17,25.53%,3.92%,3.53%,3.31,76.18%,,,,,,,,
601059,2020-12-31,8.20亿,290.20%,8.18亿,247.14%,31.62亿,42.26%,0.2900,3.86,0.60,1.48,0.0020,27.06%,7.85%,7.28%,3.17,75.41%,,,,,,,,
601059,2021-06-30,4.29亿,11.83%,False,False,14.86亿,-5.45%,0.1500,False,0.60,1.57,False,30.07%,False,False,4.08,79.82%,,,,,,,,
601059,2021-09-30,7.22亿,False,7.19亿,False,25.82亿,False,False,False,False,False,False,28.90%,False,False,False,False,,,,,,,,
601059,2021-12-31,11.72亿,42.95%,11.65亿,42.45%,38.03亿,20.27%,0.4000,4.26,0.60,1.76,-1.29,31.86%,9.89%,9.41%,4.16,80.14%,,,,,,,,
601059,2022-03-31,1.66亿,False,False,False,8.00亿,False,0.0600,False,False,False,False,22.00%,False,False,False,False,,,,,,,,
601059,2022-06-30,5.03亿,17.23%,5.00亿,False,17.85亿,20.13%,0.1700,4.44,0.60,1.85,2.55,28.73%,3.96%,3.88%,3.98,79.42%,,,,,,,,
601059,2022-09-30,7.24亿,0.29%,7.17亿,-0.29%,26.92亿,4.24%,0.2500,4.52,0.60,1.91,2.49,28.15%,5.65%,5.48%,3.76,78.43%,,,,,,,,
601059,2022-12-31,12.27亿,4.75%,12.24亿,5.06%,34.38亿,-9.61%,0.4200,4.69,0.60,2.03,2.62,38.35%,9.39%,8.97%,3.77,78.43%,,,,,,,,
601059,2023-03-31,2.16亿,30.19%,2.12亿,False,10.90亿,36.28%,0.0700,5.12,1.24,1.89,0.89,21.66%,1.39%,1.30%,3.35,76.44%,,,,,,,,
601059,2023-06-30,7.29亿,45.02%,7.24亿,44.89%,18.97亿,6.26%,0.2300,5.49,1.24,1.94,-0.19,40.47%,4.49%,4.30%,3.26,75.96%,,,,,,,,
601059,2023-09-30,10.86亿,50.09%,10.80亿,50.62%,27.39亿,1.74%,0.3400,5.34,1.24,2.05,0.47,41.41%,6.57%,6.28%,3.17,75.45%,,,,,,,,
601059,2023-12-31,14.67亿,19.52%,14.52亿,18.61%,34.83亿,1.33%,0.4600,5.48,1.24,2.10,0.75,44.28%,8.73%,8.26%,3.36,76.46%,,,,,,,,
601059,2024-03-31,1.85亿,-14.41%,1.81亿,-14.92%,8.35亿,-23.43%,0.0600,5.53,1.24,2.15,-0.71,23.37%,0.99%,1.03%,3.21,75.64%,,,,,,,,
601059,2024-06-30,6.14亿,-15.79%,6.06亿,-16.33%,15.96亿,-15.88%,0.1900,5.64,1.24,2.18,0.50,39.21%,3.41%,3.35%,3.20,75.58%,,,,,,,,
601059,2024-09-30,8.85亿,-18.49%,8.74亿,-19.08%,23.50亿,-14.19%,0.2700,5.66,1.24,2.22,1.15,38.33%,4.85%,4.35%,3.15,75.41%,,,,,,,,
601059,2024-12-31,13.65亿,-6.95%,13.64亿,-6.07%,32.92亿,-5.51%,0.4100,5.95,1.24,2.30,3.17,42.98%,7.23%,5.73%,3.46,77.14%,,,,,,,,
601059,2025-03-31,2.05亿,10.82%,2.00亿,10.43%,9.67亿,15.78%,0.0600,5.89,1.24,2.37,-2.19,21.58%,0.86%,0.87%,3.32,76.36%,,,,,,,,
601059,2025-06-30,10.24亿,66.78%,10.19亿,68.33%,20.37亿,27.66%,0.3000,6.25,1.24,2.48,0.36,50.64%,4.94%,4.14%,3.88,79.10%,,,,,,,,
601059,2025-09-30,13.54亿,52.89%,13.51亿,54.69%,30.19亿,28.46%,0.4000,6.28,1.24,2.52,-0.57,45.75%,6.44%,5.13%,3.83,78.77%,,,,,,,,
002600,2008-12-31,5213.70万,False,4589.55万,False,5.52亿,False,0.3100,2.03,0.94,0.08,0.04,11.82%,17.08%,13.50%,0.81,42.46%,24.65%,191.06,3.35,107.43,83.63,1.58,0.97,0.97
002600,2009-12-31,5167.50万,-0.89%,5038.00万,9.77%,5.09亿,-7.88%,0.2700,2.29,0.94,0.33,0.34,12.73%,12.54%,11.83%,0.64,36.29%,26.21%,208.23,3.18,113.36,94.87,1.68,1.15,1.15
002600,2010-03-31,1229.40万,False,1206.73万,False,1.37亿,False,0.0600,False,False,False,-0.05,12.03%,False,2.80%,False,False,24.69%,False,False,False,False,False,False,False
002600,2010-06-30,3541.93万,False,3500.46万,False,3.34亿,False,0.1800,False,False,False,0.10,13.62%,7.54%,False,False,False,27.29%,False,False,False,False,False,False,False
002600,2010-09-30,6305.10万,False,False,False,5.59亿,False,0.3000,False,False,False,False,14.69%,False,False,False,False,27.36%,False,False,False,False,False,False,False
002600,2010-12-31,8132.75万,57.38%,7917.93万,57.16%,7.69亿,51.20%,0.3700,2.63,1.06,0.53,0.44,13.81%,15.05%,12.96%,0.47,29.45%,26.46%,156.95,4.43,81.20,75.75,1.98,1.34,1.34
